Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
10001 ,ឈុតទារក៧មុខ,,Infant Clothes,1,7.8,14,,,,Thai Clothes,,,,,,,,,,,,,11.png,standard
10002 ,ឈុតទារក៧មុខ,,Infant Clothes,1,7.4,14,,,,Thai Clothes,,,,,,,,,,,,,11.png,standard
10003 ,ឈុតទារក៧មុខ,,Infant Clothes,1,7.4,14,,,,Thai Clothes,,,,,,,,,,,,,11.png,standard
10004 ,ឈុតទារក៧មុខ,,Infant Clothes,1,7.4,14,,,,Thai Clothes,,,,,,,,,,,,,11.png,standard
10005 ,ឈុតកឹបគូទជើងខ្លី២,,Infant Clothes,1,5.2,14,,,,Thai Clothes,,,,,,,,,,,,,11.png,standard
10006 ,ឈុតទារក៧មុខ,,Infant Clothes,1,7.4,14,,,,Thai Clothes,,,,,,,,,,,,,11.png,standard
10007 ,ឈុតទារក៧មុខ,,Infant Clothes,1,7.4,14,,,,Thai Clothes,,,,,,,,,,,,,11.png,standard
10008 ,ឈុតទារក៧មុខ,,Infant Clothes,1,7.4,14,,,,Thai Clothes,,,,,,,,,,,,,11.png,standard
10009 ,ឈុតទារក៧មុខ,,Infant Clothes,1,7.4,14,,,,Thai Clothes,,,,,,,,,,,,,11.png,standard
10010 ,ឈុតទារក៧មុខ,,Infant Clothes,1,7.4,14,,,,Thai Clothes,,,,,,,,,,,,,11.png,standard
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
